GEOID,percent_>=18,percent_Married,percent_White,percent_Black,percent_Asian,percent_Hispanic,percent_Other_Race,percent_Male,percent_Female,percent_>=HighSch,percent_Poverty,percent_Unemployed,percent_Uninsured,Med_income
0500000US45001,79.7,48.5,68.30228932469025,26.87289734963485,0.2584721424468696,1.702633954213506,2.3877902683187004,48.2,51.8,83.7,14.8,2.1,11.6,45710.0
0500000US45003,78.3,50.3,65.24026302478502,24.55532744205421,1.030081228242435,6.018625963283644,2.8897021631110715,48.4,51.6,89.3,12.5,3.9,9.7,57572.0
0500000US45005,80.4,30.6,22.13391136801541,73.21772639691714,0.1204238921001926,3.600674373795761,0.9272639691714836,54.1,45.9,76.2,25.4,7.3,11.4,31800.0
0500000US45007,77.1,51.0,76.6243206756897,15.292523600183957,0.9850511563966512,4.0465228979888535,2.879494419526958,48.4,51.6,85.8,12.9,3.2,10.8,56796.0
0500000US45009,80.0,38.2,36.22181146025878,60.08133086876156,0.2513863216266174,2.269870609981516,1.1756007393715342,48.1,51.9,77.6,19.3,4.6,14.7,44408.0
0500000US45011,76.1,40.3,50.34373347435219,45.88240949954329,0.0384596894380077,2.658526032402289,0.5768953415701168,48.7,51.3,81.4,25.5,4.3,13.1,38237.0
0500000US45013,81.5,56.6,67.8221787352089,16.724101781115763,1.1349035251361508,11.20441703806846,2.6224819496040475,49.2,50.8,93.4,9.8,2.0,9.6,74199.0
0500000US45015,76.1,50.5,62.51123190662171,23.27428983212192,2.3055434463492968,7.077213241639459,4.378886684519096,49.9,50.1,89.6,10.2,2.6,10.5,70786.0
0500000US45017,80.8,48.1,54.25412029863361,39.71686152979293,0.0915621918580081,3.965347232004508,1.972108747710945,49.3,50.7,86.1,18.3,2.8,9.4,52491.0
0500000US45019,80.3,46.0,64.90692586171983,25.24558830066231,1.6478740375259913,5.307621263081992,2.608249001101381,48.6,51.4,92.9,11.6,2.4,9.8,70807.0
0500000US45021,76.9,43.0,71.54117144687211,19.717457832182763,0.2188456337627215,4.739876165397481,3.0923065973952037,48.7,51.3,83.3,16.6,4.0,12.1,41330.0
0500000US45023,77.4,45.9,58.04232640287547,36.99377188361789,0.4957704582778174,2.2371641929786508,1.936603352647724,48.7,51.3,84.6,16.7,3.2,11.3,46441.0
0500000US45025,77.8,46.1,59.77093116481503,31.043408544267557,0.5016607490550911,4.6340625357920056,3.850647119459397,48.9,51.1,80.0,19.1,4.6,12.1,45046.0
0500000US45027,80.7,41.2,47.88220036061114,46.15506279062412,0.7939771612944043,3.2739695694809097,1.8125454717995764,49.4,50.6,79.8,18.4,5.2,10.4,45542.0
0500000US45029,77.5,43.9,55.9527518172378,35.92159916926272,0.4906542056074766,3.6292834890965735,3.3411214953271027,47.9,52.1,86.0,17.0,3.4,14.0,41419.0
0500000US45031,77.6,41.1,54.088565888417705,41.31130484132864,0.3436696987372503,2.263805905443539,1.96743020194536,47.6,52.4,84.8,19.2,3.3,8.7,40704.0
0500000US45033,74.6,38.2,45.11865951554668,47.351631787429454,0.0630981175728257,2.941073369088933,4.497493602551969,47.5,52.5,78.7,26.1,3.6,13.5,39780.0
0500000US45035,75.5,52.1,62.96853539767761,24.498688974903235,1.9440629292046447,5.875265326507679,4.198401797977276,48.9,51.1,90.4,10.4,3.5,11.1,68046.0
0500000US45037,82.1,46.4,56.91649317603517,34.050427943557715,0.1619245894055054,6.264939471046341,2.590793430488087,53.8,46.2,82.1,15.6,3.5,9.0,55183.0
0500000US45039,81.2,41.7,38.25639573303125,56.83470216180496,0.0566411781365052,2.407250070801473,2.4450108562258097,48.0,52.0,84.5,16.5,3.3,7.6,41755.0
0500000US45041,76.2,43.4,50.5681983740785,42.74818613595967,1.4299659080975553,2.869401789096419,2.0957778490049246,47.0,53.0,86.3,16.9,2.7,10.3,51902.0
0500000US45043,82.0,50.7,64.87014224028448,30.4498983997968,0.5699136398272796,3.2004064008128017,0.8461391922783846,47.7,52.3,89.7,15.8,3.6,10.8,55719.0
0500000US45045,76.8,50.8,67.28193413434313,16.930802152633586,2.4931718986551816,9.657959312605696,3.257264367904649,48.8,51.2,89.7,10.2,2.5,10.4,65513.0
0500000US45047,77.2,43.4,58.912861634313074,31.835357235570683,0.7730248925553087,6.361591046756468,1.883527070293345,46.9,53.1,86.0,14.5,3.3,8.8,44513.0
0500000US45049,78.3,42.3,40.469131949862174,52.72793467519634,0.676132521974307,4.311645082436157,1.1598273261559264,51.4,48.6,81.5,18.4,5.6,10.3,38298.0
0500000US45051,82.1,48.3,76.9596798747336,12.6046423963,1.2604932364838417,6.205616690589071,2.7155553622431965,48.5,51.5,91.1,13.9,3.3,14.2,54688.0
0500000US45053,80.1,44.9,44.209004689207774,38.962733138243486,0.5535380601487854,13.792617142051265,2.4821069703486938,49.9,50.1,88.8,15.7,4.2,13.9,47811.0
0500000US45055,76.7,50.7,67.97150286971642,23.196233208696857,0.5000846297065658,4.930065087937958,3.0389758266783606,49.0,51.0,89.8,13.7,3.2,10.1,56449.0
0500000US45057,78.3,55.6,69.73365873242264,19.915903352244516,1.6269954465257308,5.944872323117069,2.745818938649593,48.8,51.2,87.9,11.9,2.8,8.5,67407.0
0500000US45059,77.9,46.4,67.1859176743909,22.85697265741348,0.5391076428188479,5.365759218442843,3.8988503008280215,49.0,51.0,82.1,19.5,3.6,13.6,46754.0
0500000US45061,80.7,35.9,32.45666467423789,62.45666467423789,0.1315002988643156,2.55827854154214,2.3968918111177526,51.6,48.4,82.3,20.2,3.7,11.3,36195.0
0500000US45063,76.8,51.3,73.38708295197843,14.856559133150284,1.9611069404880657,6.31112390863936,3.211608272230849,48.9,51.1,90.4,11.2,3.0,9.6,65623.0
0500000US45065,88.4,48.2,51.9720367278798,44.42821368948247,0.1252086811352253,0.8034223706176963,2.1389816360601004,54.9,45.1,83.5,15.7,2.6,5.4,53193.0
0500000US45067,77.2,30.4,38.16123035321954,56.596248098698666,0.2906878485719114,2.9778604022308603,1.9739732972790265,45.7,54.3,80.4,24.1,3.4,13.9,34465.0
0500000US45069,79.8,31.2,38.69649227110583,49.82164090368609,0.2824019024970273,3.3219381688466108,7.290428061831153,52.8,47.2,79.7,22.4,3.9,13.2,32136.0
0500000US45071,78.2,51.1,59.91226679350986,30.569208815601712,0.2457586808308229,7.969980445008192,1.154801543258813,48.9,51.1,86.2,14.2,2.7,9.4,50950.0
0500000US45073,80.1,53.9,84.02710054919673,7.007391058871837,0.8545911820561515,5.717805266129447,2.3007237078478675,49.4,50.6,86.1,16.2,3.3,10.3,52842.0
0500000US45075,77.9,35.7,33.15785134673592,61.597710490054055,0.7678809077954045,2.363707027523584,1.9986102768846647,46.9,53.1,84.3,21.8,5.1,10.6,38052.0
0500000US45077,81.0,46.7,85.15858259333267,6.280040426795868,1.7690580710863542,4.011819437265174,2.696405564084958,50.1,49.9,86.6,20.5,2.5,9.1,53188.0
0500000US45079,78.4,39.4,41.12302547025817,46.9006725035506,2.9323469626421748,5.428977211075451,3.117773721483704,48.4,51.6,91.8,15.9,3.9,9.2,56137.0
0500000US45081,78.1,53.3,58.343855218855225,24.49494949494949,0.021043771043771,15.646043771043772,1.1521464646464643,51.2,48.8,81.3,18.2,2.3,17.6,46451.0
0500000US45083,76.6,49.5,67.20817433966005,20.19116408147084,2.2346870508944945,7.319490559492542,2.769896922543238,48.8,51.2,87.5,12.7,3.1,10.2,57627.0
0500000US45085,75.8,45.3,44.472554649080415,46.017036679079375,1.2545363237537546,4.205160275543174,3.7143371518993336,48.7,51.3,88.1,15.8,4.6,11.4,49040.0
0500000US45087,78.5,44.4,64.07749212627262,29.748040723650483,0.1135281623086501,1.7505310188237015,4.248150589614004,47.4,52.6,82.8,18.7,4.9,11.2,40048.0
0500000US45089,79.2,38.0,31.516352824578792,64.13568208702324,0.6394066306467598,2.295469804021868,1.0230506090348157,47.6,52.4,83.9,20.6,2.2,9.8,40124.0
0500000US45091,75.7,52.8,69.1353694738022,18.790970788483165,2.568979169755106,6.031044694090806,3.2346358413271195,48.5,51.5,91.6,8.4,3.3,8.5,72234.0
